,Accuracy,Precision,Recall,F1-Score,AUC
SVM,0.7575757575757576,0.8125,0.7222222222222222,0.7647058823529411,0.8796296296296297
XGBoost,0.7575757575757576,0.7941176470588235,0.75,0.7714285714285715,0.8787037037037038
1D-CNN-LightGBM,0.7575757575757576,0.75,0.8333333333333334,0.7894736842105263,0.8712962962962962
